iter	RMSE
0	0.3479244499
1	0.3427763388
2	0.3387274875
3	0.3337269449
4	0.3293785289
5	0.3250740428
6	0.3212088433
7	0.3197803832
8	0.3154571012
9	0.3109808168
10	0.3066846809
11	0.3024148812
12	0.2994278137
13	0.2960144414
14	0.2925881786
15	0.2887502091
16	0.2848341466
17	0.2816263547
18	0.2781976211
19	0.2750059476
20	0.2724684576
21	0.269474641
22	0.2661728689
23	0.2637575083
24	0.2609890191
25	0.2578286964
26	0.2552755451
27	0.2523776475
28	0.2499097912
29	0.2479509764
30	0.2457988047
31	0.2434146372
32	0.2412991338
33	0.23899755
34	0.2373668928
35	0.2354718697
36	0.2333153309
37	0.2316738875
38	0.2290171507
39	0.2264351668
40	0.2252629352
41	0.2232558344
42	0.2214453101
43	0.2200307682
44	0.2181666401
45	0.2173237734
46	0.2157251756
47	0.2142061533
48	0.2131093427
49	0.2121915925
50	0.2102427749
51	0.2097312883
52	0.20833418
53	0.2063240872
54	0.2051999731
55	0.2041466311
56	0.202887112
57	0.2015409667
58	0.2003060637
59	0.199116367
60	0.1978157496
61	0.1968225409
62	0.1952552653
63	0.1938428121
64	0.1924040401
65	0.1911161286
66	0.190311086
67	0.1894105329
68	0.1881937163
69	0.1869472576
70	0.1858710269
71	0.1847319202
72	0.1834169667
73	0.1825151141
74	0.1811897486
75	0.180152992
76	0.1786512536
77	0.178031281
78	0.1767859155
79	0.1757519437
80	0.1749171167
81	0.1740221055
82	0.1732960625
83	0.1725004785
84	0.1714840717
85	0.1705769253
86	0.1694573723
87	0.1683816635
88	0.1683105003
89	0.1677253738
90	0.1667287861
91	0.165854534
92	0.1647819482
93	0.1640038016
94	0.1633949016
95	0.1624389531
96	0.1617743076
97	0.1609019065
98	0.1605916729
99	0.1598898198
100	0.1594714822
101	0.1588092329
102	0.1580256641
103	0.1573514771
104	0.156735127
105	0.1564825
106	0.1559424697
107	0.1554257474
108	0.1550679046
109	0.154668569
110	0.1542171592
111	0.1538449175
112	0.1533019631
113	0.1531345325
114	0.1524668116
115	0.1518080385
116	0.151261834
117	0.1506846857
118	0.1501063174
119	0.1497032629
120	0.1492127057
121	0.1486942939
122	0.1484208972
123	0.1481377251
124	0.1475670109
125	0.1472204882
126	0.146743384
127	0.1465389277
128	0.1462826412
129	0.145796859
130	0.1452773516
131	0.14499937
132	0.1447859521
133	0.1444445092
134	0.1441325475
135	0.1434683906
136	0.1429020182
137	0.1425236747
138	0.1421482987
139	0.1419651429
140	0.1417544161
141	0.1412642651
142	0.1409423021
143	0.1404604331
144	0.1399494478
145	0.1398292816
146	0.1393304464
147	0.1391006066
148	0.1386890744
149	0.1384088389
150	0.1383136816
151	0.1380566183
152	0.1378265878
153	0.1375896501
154	0.1373565818
155	0.1368779509
156	0.1366087518
157	0.136154361
158	0.1358443925
159	0.1356535599
160	0.1354363418
161	0.135390954
162	0.135012759
163	0.1348094664
164	0.1346315276
165	0.1345263679
166	0.1342548396
167	0.133982249
168	0.1337016727
169	0.133310074
170	0.1330547489
171	0.1328883601
172	0.1326545636
173	0.1325371187
174	0.1323571329
175	0.1321140818
176	0.1319547759
177	0.1317907849
178	0.1315681697
179	0.1314158788
180	0.1312483544
181	0.1310854714
182	0.1310433832
183	0.130847047
184	0.1307192155
185	0.1305882401
186	0.1303179866
187	0.1301278664
188	0.130086927
189	0.129958511
190	0.1298562518
191	0.1296828744
192	0.1295659117
193	0.1294656454
194	0.1293605843
195	0.129125668
196	0.1289146222
197	0.1286063481
198	0.1285541421
199	0.1284972161
200	0.1284218846
201	0.1281756845
202	0.1279906598
203	0.1279163695
204	0.1277972832
205	0.1276464996
206	0.1275680065
207	0.1274743936
208	0.1274528974
209	0.1271491426
210	0.1271071496
211	0.1270551559
212	0.126842149
213	0.1267233376
214	0.1266245869
215	0.1264370528
216	0.1262124453
217	0.1260674099
218	0.1258822097
219	0.1257475474
220	0.1256294493
221	0.1254722635
222	0.1253827128
223	0.1252802035
224	0.1251738409
225	0.1249836362
226	0.1249002083
227	0.1247158396
228	0.1246122432
229	0.1245162298
230	0.1242514092
231	0.1241229193
232	0.1239947984
233	0.1239238883
234	0.123727917
235	0.1236636533
236	0.1235102031
237	0.1234288916
238	0.1233699605
239	0.1232881034
240	0.1231758934
241	0.1229522639
242	0.1229009174
243	0.1228464643
244	0.1227762322
245	0.1225830861
246	0.1225081548
247	0.1223341069
248	0.1221496649
249	0.1220533783
250	0.1219258689
251	0.1218665134
252	0.121757001
253	0.1216868502
254	0.1215350129
255	0.1213538098
256	0.1213223746
257	0.1213054012
258	0.1211564155
259	0.1211490092
260	0.1209989994
261	0.1209052935
262	0.120803101
263	0.1207210258
264	0.1206270902
265	0.1206202165
266	0.1204374277
267	0.1202912198
268	0.1201536492
